index,Title,Year,Length,Subject,Popularity
377,"Bobo, The",1967,103,Comedy,80
378,"Big Bands, The",1993,53,Music,48
379,Killer Image.,1992,97,Mystery,8
380,Kandyland,1987,94,Drama,41
381,Campus Man,1987,94,Drama,38
382,Jubal,1956,101,Drama,32
383,"Purple Rose of Cairo, The",1985,84,Comedy,20
384,Broadway Danny Rose,1984,85,Comedy,14
385,Husbands & Wives,1992,108,Comedy,80
386,Hannah & Her Sisters,1986,103,Comedy,8
387,Hurricane,1979,115,Action,8
388,Between Two Women,1986,95,Drama,52
389,"Cannonball Run, The",1981,96,Comedy,80
390,Doughnuts & Society,1936,70,Comedy,28
391,Holocaust,1978,450,Drama,1
392,Meridian,1990,103,Science Fiction,47
393,Diary of a Hitman,1992,90,Drama,67
394,Gor,1988,95,Action,2
395,Surrender,1987,95,Comedy,84
396,Places in the Heart,1984,112,Drama,83
397,Not Without My Daughter,1991,106,Drama,55
398,Heroes,1977,113,Drama,17
399,Absence of Malice,1981,116,Drama,76
400,Norma Rae,1979,110,Drama,64
401,Steel Magnolias,1989,118,Drama,66
402,"Burbs, The",1989,101,Comedy,42
403,"Empire Strikes Back, The",1980,124,Science Fiction,33
404,Star Wars,1977,121,Science Fiction,44
405,Return of the Jedi,1983,132,Science Fiction,4
406,Hear My Song,1991,104,Drama,72
407,Slightly Scarlet,1956,99,Action,52
408,Gunfight at the OK Corral,1957,120,Western,84
409,"Range Feud, The",1931,,Western,51
410,Bloodsucking Pharaohs in Pittsburgh,1990,89,Comedy,79
411,Roma,1972,129,Drama,75
412,"China Syndrome, The",1979,122,Drama,43
413,"Morning After, The",1986,100,Mystery,6
414,Klute,1971,114,Drama,15
415,"Electric Horseman, The",1979,113,Comedy,34
416,Cat Ballou,1965,97,Comedy,62
417,Coming Home,1991,,Drama,1
418,Rebecca,1940,130,Drama,78
419,Jane Eyre,1944,96,Drama,44
420,Stacey!,1973,87,Action,31
421,Naked Obsession,1992,85,Mystery,26
422,"Stripped to Kill II, Live Girls",1989,83,Mystery,80
423,"Rain Killer, The",1990,94,Mystery,10
424,Valley Girl,1983,95,Comedy,30
425,"Silence of the Lambs, The",1991,118,Mystery,8
426,Stealing Home,1988,98,Drama,76
427,Napoleon & Samantha,1972,92,Comedy,33
428,Five Corners,1988,,Drama,88
429,"Blackboard Jungle, The",1955,,Drama,66
430,My Left Foot,1989,103,Drama,32
431,Back to the Beach,1987,92,Comedy,45
432,"Painted Veil, The",1934,85,Drama,57
433,Inspiration,1931,74,Drama,66
434,Anna Christie,1930,92,Drama,0
435,"Flesh & the Devil, The",1926,109,Drama,72
436,Woman of Affairs,1928,90,Drama,83
437,Anna Karenina,1935,96,Drama,35
438,Camille,1936,110,Drama,74
439,Mata Hari,1931,91,Drama,67
440,Wild Orchids,1929,100,Drama,70
441,Grand Hotel,1932,112,Drama,81
442,"Susan Lennox, Her Fall & Rise",1931,84,Drama,64
443,Ninotchka,1939,108,Comedy,40
444,Queen Christina,1933,97,Drama,82
445,"Mysterious Lady, The",1928,96,Drama,72
446,Joyless Street,1925,125,Drama,73
447,"Single Standard, The",1929,74,Drama,73
448,As You Desire Me,1932,71,Drama,85
449,Romance,1930,76,Drama,62
450,A Child Is Waiting,1962,105,Drama,60
451,Tootsie,1982,116,Comedy,8
452,Let It Ride,1989,86,Comedy,88
453,Julius Caesar,1953,120,Drama,50
454,Nineteen Forty-One,1979,120,Comedy,24
455,Jaws,1975,124,Action,6
456,Hot Pursuit,1987,93,Drama,44
457,Triumph of the Spirit,1989,120,Drama,49
458,Brannigan,1975,111,Drama,64
459,Buffet Froid,1979,89,Comedy,75
460,Salvador,1986,122,Drama,77
461,"Horse Soldiers, The",1959,102,Western,76
462,Long John Silver,1954,108,Action,56
463,"Hustler, The",1961,134,Drama,43
464,"Star Chamber, The",1983,109,Drama,3
465,Clara's Heart,1988,100,Drama,60
466,Burglar,1987,102,Comedy,44
467,Comic Relief,1986,120,Comedy,69
468,Bloodbrothers,1978,117,Drama,11
469,Rain Man,1988,134,Drama,8
470,Masculine Feminine,1966,95,Drama,20
471,"Outer Limits, The",1964,51,Science Fiction,27
472,Mama's Dirty Girls,1988,,Horror,62
473,"Last Ride of the Dalton Gang, The",1979,180,Western,62
474,Why Me?,1991,,Comedy,74
475,Number Seventeen,1932,66,Crime,66
476,Manhunter,1986,120,Drama,19
477,"Bonfire of the Vanities, The",1990,126,Drama,82
478,Working Girl,1988,115,Comedy,25
479,Shining Through,1992,133,Mystery,11
480,Slumber Party Massacre III,1991,76,Horror,40
481,Tokyo Pop,1988,99,Comedy,2
482,Terminator 2,1991,136,Action,8
483,"Terminator, The",1984,108,Action,17
484,King Kong Lives!,1986,105,Action,20
485,Those Daring Young Men in Their Jaunty,1969,125,Comedy,59
486,At Play in the Fields of the Lord,1991,186,Drama,81
487,Crazy People,1990,,Comedy,61
488,Memoirs of an Invisible Man,1992,99,Comedy,58
489,"Clan of the Cave Bear, The",1985,100,Drama,73
490,"Final Terror, The",1983,82,Horror,24
491,Reckless,1984,93,Drama,14
492,High Spirits,1989,,Comedy,53
493,Roxanne,1987,107,Comedy,66
494,Blade Runner,1982,117,Action,1
495,Wall Street,1987,126,Drama,6
496,Pope of Greenwich Village,1992,111,Drama,58
497,After School,1989,89,Drama,59
498,Flaming Frontiers,1938,298,Western,82
499,Libeled Lady,1936,89,Comedy,86
500,Inserts,1976,99,Drama,85
501,"Blue Iguana, The",1988,88,Drama,65
502,Tender Mercies,1983,93,Drama,61
503,Nights in White Satin,1987,96,Drama,5
504,Videodrome,1989,87,Horror,36
505,Intimate Stranger,1991,96,Mystery,23
506,Highlander,1986,110,Science Fiction,8
507,Bodycount,1987,93,Action,51
508,Tango & Cash,1989,104,Action,9
509,There's a Girl in My Soup,1970,94,Comedy,41
510,Swing Shift,1984,100,Drama,81
511,Foul Play,1978,112,Comedy,46
512,Best Friends,1982,109,Comedy,74
513,Butterflies Are Free,1972,109,Drama,82
514,Overboard,1987,112,Comedy,6
515,"Girl from Petrovka, The",1974,103,Drama,23
516,Housesitter,1992,102,Comedy,14
517,Wildcats,1986,106,Comedy,22
518,Protocol,1984,100,Comedy,53
519,Seems Like Old Times,1980,102,Comedy,49
520,"Sugarland Express, The",1974,109,Drama,28
521,Private Benjamin,1980,110,Comedy,61
522,Deceived,1991,115,Mystery,55
523,Arrowsmith,1931,95,Drama,84
524,Say Goodbye Maggie Cole,1972,78,Drama,84
525,Circus World,1964,132,Drama,29
526,Affair in Trinidad,1952,98,Drama,49
527,Lady from Shanghai,1948,87,Mystery,16
528,Lady in Question,1940,81,Drama,57
529,Gilda,1946,110,Drama,57
530,"Loves of Carmen, The",1948,98,Drama,48
531,Dick Tracy,1990,105,Comedy,84
532,Marnie,1964,130,Drama,2
533,Hot Child in the City,1987,85,Mystery,0
534,Johnny Dangerously,1984,90,Comedy,3
535,Stark,1985,95,Mystery,27
536,Three Strange Loves,1949,84,Drama,87
537,My Fair Lady,1964,170,Music,10
538,"Unforgiven, The",1960,123,Drama,32
539,Robin & Marian,1976,106,Action,6
540,"Children's Hour, The",1961,109,Drama,60
541,"Rainmaker, The",1956,121,Drama,21
542,Pat & Mike,1952,95,Comedy,48
543,"Lion in Winter, THe",1968,134,Drama,78
544,"Sea of Grass, The",1991,132,Western,75
545,Guess Who's Coming to Dinner,1967,108,Drama,50
546,Desk Set,1957,153,Comedy,51
547,Rooster Cogburn,1975,107,Western,76
548,On Golden Pond,1981,109,Drama,23
549,Adam's Rib,1991,101,Comedy,62
550,Boom Town,1991,116,Drama,73
551,Dragon Seed,1991,145,Drama,34
552,Little Women,1991,115,Drama,22
553,"Philadelphia Story, The",1991,113,Comedy,25
554,Without Love,1991,112,Comedy,66
555,Woman of the Year,1991,113,Comedy,12
556,Juice,1992,95,Drama,31
557,Hoosiers,1986,114,Drama,2
558,Tin Men,1987,112,Comedy,50
559,"Last Temptation of Christ, The",1988,163,Drama,32
560,Paris Trout,1991,99,Drama,53
561,Souvenir,1988,87,Drama,42
562,A Man for All Seasons,1966,120,Drama,20
